uuid,ml,ap,dv
f97a0aad-c986-4ded-8268-44be4173eb45,3351,6825,4168
,,,
d4d0cc5c-78ec-4705-90bb-317d7799ba31,3351,6825,4150
,,,
a0af740d-817e-4de4-b57e-70310a583523,3351,6819,4134
,,,
8a9de1c4-a65e-4295-844b-44233f976ec9,3351,6819,4134
,,,
2bf5ca9c-8c99-482c-b90b-1b44be66d9df,3351,6814,4117
,,,
b10dcc3e-1aaa-4b29-81d3-2a7b965fc1d9,3351,6814,4117
,,,
5257fd39-7677-4cb6-b512-27dd6d6d3eb6,3351,6808,4100
,,,
47c69991-e740-4a9c-b627-e3734fad58b8,3351,6808,4100
,,,
98176612-4ea7-4d34-a6e9-a0ffaa5d363d,3351,6802,4083
,,,
cf56a235-f5d8-4c86-911d-50e2905f0727,3351,6791,4050
,,,
ffc35a5c-aa19-4108-ab87-34defac628b5,3351,6791,4050
,,,
75b7ad37-366b-402b-bf9a-09341d000cc2,3351,6786,4033
,,,
1b61d561-a6aa-4832-9b12-92963cc0b690,3351,6780,4017
,,,
6673339a-dc7e-417f-bef1-2e1a09392321,3351,6780,4017
,,,
97fcee26-92c6-4345-946b-f402339acf01,3362,6764,3968
,,,
4ac7af84-af18-4e5c-9aae-ca82b9f862c1,3372,6752,3936
,,,
acd0dbb2-49c8-47ec-8351-94eb0b4a06ea,3375,6741,3903
,,,
4c0935a7-bbcc-4210-972b-6682b645b9dc,3375,6736,3886
,,,
41d0a201-3860-49c5-9891-e7cd653c4a03,3375,6730,3870
,,,
af81ae76-2342-4039-a32b-7ab039596e11,3375,6725,3853
,,,
ca1ce924-7424-488e-a2ac-b956afce3a40,3393,6715,3824
,,,
e09f5353-48a1-4103-99d2-de24fe1c5d93,3402,6711,3810
,,,
fec9cee9-ce46-49a8-9e92-8b6852ff7e5b,3412,6706,3796
,,,
8fe695d2-6083-4a1b-b527-cb96052619bd,3421,6702,3782
,,,
bbd721c8-b46a-4f64-b046-b82cb57291c5,3421,6702,3782
,,,
54f26c4f-499d-4188-918d-f310724a339a,3426,6700,3766
,,,
0e6ef023-4bf0-4c43-8198-80365939df03,3428,6698,3696
,,,
4203355d-12c6-48cb-9234-c6a41d6dc22f,3438,6688,3664
,,,
3951b062-5838-4bc9-b325-d9df30005c7f,3443,6682,3648
,,,
81a80b6d-9ea7-451e-87b2-4335f6fffb40,3448,6677,3632
,,,
45b248a7-6986-4515-9799-434a7995ea01,3459,6675,3599
,,,
